ticker,filing_type,filing_date,section_used,text_length,positive,negative,neutral,net_score,pct_positive,pct_negative,n_chunks
AAPL,10-Q,2016-01-27,full_fallback,14000,0.086699,0.288026,0.625275,-0.201328,0.028571,0.314286,35
AAPL,10-Q,2016-04-27,full_fallback,14400,0.082971,0.268929,0.6481,-0.185958,0.027778,0.222222,36
AAPL,10-Q,2016-07-27,full_fallback,14400,0.065436,0.296025,0.638538,-0.230589,0.027778,0.194444,36
AAPL,10-Q,2017-02-01,full_fallback,14000,0.075566,0.230005,0.694429,-0.154439,0.028571,0.2,35
AAPL,10-Q,2017-05-03,full_fallback,14400,0.076916,0.198164,0.72492,-0.121248,0.027778,0.111111,36
AAPL,10-Q,2017-08-02,full_fallback,14800,0.089535,0.224432,0.686033,-0.134897,0.054054,0.216216,37
AAPL,10-Q,2018-02-02,full_fallback,14400,0.079728,0.170556,0.749717,-0.090828,0.027778,0.083333,36
AAPL,10-Q,2018-05-02,full_fallback,14800,0.090462,0.192443,0.717095,-0.101981,0.027027,0.135135,37
AAPL,10-Q,2018-08-01,full_fallback,14800,0.078976,0.192944,0.72808,-0.113968,0.027027,0.162162,37
AAPL,10-Q,2019-01-30,full_fallback,14400,0.061244,0.296909,0.641847,-0.235666,0.0,0.333333,36
AAPL,10-Q,2019-05-01,full_fallback,14800,0.040126,0.23156,0.728313,-0.191434,0.0,0.216216,37
AAPL,10-Q,2019-07-31,full_fallback,14800,0.055988,0.240784,0.703229,-0.184796,0.027027,0.162162,37
AAPL,10-Q,2020-01-29,full_fallback,14800,0.037474,0.212083,0.750442,-0.174609,0.0,0.216216,37
AAPL,10-Q,2020-05-01,full_fallback,14800,0.026835,0.2218,0.751365,-0.194965,0.0,0.189189,37
AAPL,10-Q,2020-07-31,full_fallback,14800,0.067764,0.13945,0.792786,-0.071685,0.054054,0.081081,37
AAPL,10-Q,2021-01-28,full_fallback,14400,0.093539,0.13597,0.770491,-0.042432,0.055556,0.083333,36
AAPL,10-Q,2021-04-29,full_fallback,14800,0.066479,0.172004,0.761517,-0.105524,0.027027,0.108108,37
AAPL,10-Q,2021-07-28,full_fallback,14800,0.115023,0.14138,0.743597,-0.026358,0.108108,0.081081,37
AAPL,10-Q,2022-01-28,full_fallback,9200,0.083481,0.195444,0.721074,-0.111963,0.043478,0.173913,23
AAPL,10-Q,2022-04-29,full_fallback,10800,0.060192,0.238486,0.701321,-0.178294,0.0,0.259259,27
AAPL,10-Q,2022-07-29,full_fallback,10400,0.046825,0.273167,0.680008,-0.226342,0.0,0.230769,26
AAPL,10-Q,2023-02-03,full_fallback,9600,0.024594,0.281375,0.694031,-0.256781,0.0,0.25,24
AAPL,10-Q,2023-05-05,full_fallback,10400,0.031973,0.296495,0.671532,-0.264522,0.0,0.230769,26
AAPL,10-Q,2023-08-04,full_fallback,10400,0.023816,0.303718,0.672466,-0.279902,0.0,0.269231,26
AAPL,10-Q,2024-02-02,full_fallback,9200,0.048761,0.236185,0.715054,-0.187424,0.0,0.130435,23
AAPL,10-Q,2024-05-03,full_fallback,10000,0.041811,0.303675,0.654514,-0.261864,0.0,0.36,25
AAPL,10-Q,2024-08-02,full_fallback,10000,0.042231,0.262613,0.695156,-0.220382,0.0,0.2,25
AAPL,10-Q,2025-01-31,full_fallback,10000,0.040241,0.287224,0.672535,-0.246983,0.0,0.32,25
AAPL,10-Q,2025-05-02,full_fallback,11600,0.052014,0.405428,0.542558,-0.353414,0.034483,0.448276,29
AAPL,10-Q,2025-08-01,full_fallback,10000,0.054527,0.314041,0.631432,-0.259514,0.0,0.4,25
AAPL,10-Q,2026-01-30,full_fallback,9200,0.037634,0.247317,0.715049,-0.209682,0.0,0.26087,23
AAPL,10-K,2016-10-26,full_fallback,14400,0.076094,0.352589,0.571317,-0.276495,0.027778,0.388889,36
AAPL,10-K,2017-11-03,full_fallback,14400,0.069449,0.354369,0.576181,-0.28492,0.027778,0.361111,36
AAPL,10-K,2018-11-05,full_fallback,14400,0.095384,0.310769,0.593847,-0.215386,0.083333,0.305556,36
AAPL,10-K,2019-10-31,full_fallback,14000,0.043965,0.438807,0.517227,-0.394842,0.0,0.457143,35
AAPL,10-K,2020-10-30,full_fallback,14000,0.068984,0.475976,0.45504,-0.406991,0.028571,0.6,35
AAPL,10-K,2021-10-29,full_fallback,14000,0.073167,0.456958,0.469876,-0.383791,0.028571,0.571429,35
AAPL,10-K,2022-10-28,full_fallback,14000,0.058304,0.526953,0.414743,-0.468649,0.028571,0.571429,35
AAPL,10-K,2023-11-03,full_fallback,14000,0.026176,0.582364,0.391459,-0.556188,0.0,0.685714,35
AAPL,10-K,2024-11-01,full_fallback,14000,0.044723,0.480064,0.475212,-0.435341,0.0,0.514286,35
AAPL,10-K,2025-10-31,full_fallback,13600,0.03207,0.532343,0.435587,-0.500273,0.0,0.588235,34
ABBV,10-Q,2016-05-06,full_fallback,14400,0.162908,0.224157,0.612935,-0.061249,0.111111,0.194444,36
ABBV,10-Q,2016-08-05,full_fallback,14800,0.156258,0.136064,0.707678,0.020194,0.135135,0.081081,37
ABBV,10-Q,2016-11-07,full_fallback,14400,0.145988,0.1419,0.712112,0.004088,0.111111,0.083333,36
ABBV,10-Q,2017-05-05,full_fallback,14400,0.106161,0.218563,0.675276,-0.112402,0.055556,0.138889,36
ABBV,10-Q,2017-08-07,full_fallback,14800,0.095453,0.251651,0.652896,-0.156198,0.054054,0.27027,37
ABBV,10-Q,2017-11-07,full_fallback,14800,0.129743,0.197179,0.673078,-0.067436,0.108108,0.135135,37
ABBV,10-Q,2018-05-04,full_fallback,14400,0.132986,0.163738,0.703276,-0.030752,0.111111,0.083333,36
ABBV,10-Q,2018-08-07,full_fallback,14800,0.125648,0.19582,0.678532,-0.070172,0.054054,0.135135,37
ABBV,10-Q,2018-11-07,full_fallback,14800,0.15298,0.177954,0.669066,-0.024974,0.108108,0.135135,37
ABBV,10-Q,2019-05-03,full_fallback,13600,0.096523,0.205249,0.698228,-0.108726,0.058824,0.176471,34
ABBV,10-Q,2019-08-05,full_fallback,14800,0.071143,0.143136,0.78572,-0.071993,0.027027,0.108108,37
ABBV,10-Q,2019-11-06,full_fallback,14800,0.049587,0.168256,0.782157,-0.118668,0.0,0.189189,37
ABBV,10-Q,2020-05-08,full_fallback,14800,0.079273,0.200685,0.720042,-0.121413,0.027027,0.189189,37
ABBV,10-Q,2020-08-04,full_fallback,13200,0.030678,0.051392,0.91793,-0.020714,0.0,0.0,33
ABBV,10-Q,2020-11-04,full_fallback,13200,0.035601,0.052347,0.912051,-0.016746,0.0,0.0,33
ABBV,10-Q,2021-05-07,full_fallback,14000,0.057675,0.147282,0.795044,-0.089607,0.028571,0.114286,35
ABBV,10-Q,2021-08-02,full_fallback,12800,0.047596,0.073789,0.878615,-0.026193,0.0,0.0,32
